종목코드,종목명
005930,삼성전자
000660,SK하이닉스
005380,현대차
005935,삼성전자우
373220,LG에너지솔루션
207940,삼성바이오로직스
402340,SK스퀘어
012450,한화에어로스페이스
329180,HD현대중공업
000270,기아
034020,두산에너빌리티
105560,KB금융
028260,삼성물산
068270,셀트리온
035420,NAVER
042660,한화오션
055550,신한지주
012330,현대모비스
010130,고려아연
032830,삼성생명
015760,한국전력
267260,HD현대일렉트릭
006400,삼성SDI
009540,HD한국조선해양
005490,POSCO홀딩스
086790,하나금융지주
035720,카카오
010140,삼성중공업
064350,현대로템
298040,효성중공업
006800,미래에셋증권
034730,SK
000810,삼성화재
247540,에코프로비엠
316140,우리금융지주
196170,알테오젠
086520,에코프로
051910,LG화학
009150,삼성전기
138040,메리츠금융지주
042700,한미반도체
003670,포스코퓨처엠
096770,SK이노베이션
011200,HMM
267250,HD현대
033780,KT&G
086280,현대글로비스
272210,한화시스템
024110,기업은행
010120,LS ELECTRIC
047810,한국항공우주
066570,LG전자
352820,하이브
017670,SK텔레콤
0126Z0,삼성에피스홀딩스
030200,KT
003550,LG
277810,레인보우로보틱스
000150,두산
018260,삼성에스디에스
307950,현대오토에버
259960,크래프톤
071050,한국금융지주
039490,키움증권
010950,S-Oil
000720,현대건설
000250,삼천당제약
047050,포스코인터내셔널
298380,에이비엘바이오
323410,카카오뱅크
079550,LIG넥스원
278470,에이피알
005830,DB손해보험
005940,NH투자증권
005387,현대차2우B
326030,SK바이오팜
003230,삼양식품
950160,코오롱티슈진
000100,유한양행
007660,이수페타시스
000880,한화
003490,대한항공
377300,카카오페이
443060,HD현대마린솔루션
090430,아모레퍼시픽
016360,삼성증권
058470,리노공업
161390,한국타이어앤테크놀로지
180640,한진칼
141080,리가켐바이오
454910,두산로보틱스
028300,HLB
006260,LS
087010,펩트론
032640,LG유플러스
064400,LG씨엔에스
214370,케어젠
029780,삼성카드
078930,GS
001040,CJ
128940,한미약품
005385,현대차우
028050,삼성E&A
021240,코웨이
022100,포스코DX
034220,LG디스플레이
011070,LG이노텍
241560,두산밥캣
240810,원익IPS
001440,대한전선
088980,맥쿼리인프라
140410,메지온
267270,HD건설기계
138930,BNK금융지주
066970,엘앤에프
036570,엔씨소프트
052690,한전기술
108490,로보티즈
214450,파마리서치
214150,클래시스
175330,JB금융지주
450080,에코프로머티
009830,한화솔루션
271560,오리온
039030,이오테크닉스
000990,DB하이텍
082740,한화엔진
251270,넷마블
062040,산일전기
011790,SKC
002380,KCC
004020,현대제철
310210,보로노이
347850,디앤디파마텍
111770,영원무역
051900,LG생활건강
302440,SK바이오사이언스
403870,HPSP
357780,솔브레인
011780,금호석유화학
035250,강원랜드
036460,한국가스공사
017800,현대엘리베이터
103140,풍산
263750,펄어비스
011170,롯데케미칼
0009K0,에임드바이오
319400,현대무벡스
031210,서울보증보험
058610,에스피지
145020,휴젤
018880,한온시스템
237690,에스티팜
004990,롯데지주
030530,원익홀딩스
257720,실리콘투
457190,이수스페셜티케미컬
097950,CJ제일제당
014680,한솔케미칼
103590,일진전기
095340,ISC
068760,셀트리온제약
353200,대덕전자
489790,한화비전
004170,신세계
088350,한화생명
012750,에스원
071970,HD현대마린엔진
204320,HL만도
012510,더존비즈온
008930,한미사이언스
001720,신영증권
005290,동진쎄미켐
383220,F&F
009970,영원무역홀딩스
226950,올릭스
009420,한올바이오파마
439260,대한조선
064760,티씨케이
041510,에스엠
035900,JYP Ent.
001430,세아베스틸지주
160190,하이젠알앤엠
026960,동서
005850,에스엘
000240,한국앤컴퍼니
004800,효성
084370,유진테크
030000,제일기획
051600,한전KPS
001450,현대해상
028670,팬오션
139480,이마트
067310,하나마이크론
081660,미스토홀딩스
139130,iM금융지주
004370,농심
475830,오름테라퓨틱
023590,다우기술
023530,롯데쇼핑
000120,CJ대한통운
011210,현대위아
098460,고영
192820,코스맥스
003690,코리안리
290650,엘앤씨바이오
002790,아모레퍼시픽홀딩스
097230,HJ중공업
323280,태성
222800,심텍
361610,SK아이이테크놀로지
336260,두산퓨얼셀
083650,비에이치아이
065350,신성델타테크
00680K,미래에셋증권2우B
010060,OCI홀딩스
018670,SK가스
099320,쎄트렉아이
178320,서진시스템
039200,오스코텍
437730,삼현
140860,파크시스템스
069960,현대백화점
348370,엔켐
282330,BGF리테일
458870,씨어스테크놀로지
476830,알지노믹스
047040,대우건설
462870,시프트업
020150,롯데에너지머티리얼즈
445680,큐리옥스바이오시스템즈
032350,롯데관광개발
483650,달바글로벌
069620,대웅제약
036930,주성엔지니어링
101490,에스앤에스텍
006280,녹십자
000155,두산우
491000,리브스메드
089030,테크윙
466100,클로봇
007070,GS리테일
082270,젬백스
006040,동원산업
008770,호텔신라
319660,피에스케이
090710,휴림로봇
281740,레이크머티리얼즈
017960,한국카본
085660,차바이오텍
073240,금호타이어
375500,DL이앤씨
112610,씨에스윈드
031980,피에스케이홀딩스
060370,LS마린솔루션
395400,SK리츠
007810,코리아써키트
085620,미래에셋생명
005070,코스모신소재
161890,한국콜마
003570,SNT다이내믹스
035760,CJ ENM
034230,파라다이스
298020,효성티앤씨
007390,네이처셀
232140,와이씨
388720,유일로보틱스
003380,하림지주
006360,GS건설
195940,HK이노엔
293490,카카오게임즈
003540,대신증권
020560,아시아나항공
007310,오뚜기
120110,코오롱인더
032820,우리기술
096530,씨젠
080220,제주반도체
001120,LX인터내셔널
253450,스튜디오드래곤
007340,DN오토모티브
000500,가온전선
005440,현대지에프홀딩스
095610,테스
204270,제이앤티씨
122870,와이지엔터테인먼트
003090,대웅
003530,한화투자증권
077970,STX엔진
397030,에이프릴바이오
294870,HDC현대산업개발
030610,교보증권
183300,코미코
166090,하나머티리얼즈
131970,두산테스나
001800,오리온홀딩스
161580,필옵틱스
056080,유진로봇
036540,SFA반도체
484870,엠앤씨솔루션
347700,스피어
456160,지투지바이오
115180,큐리언트
218410,RFHIC
229640,LS에코에너지
330590,롯데리츠
174900,앱클론
